timestep,K2064010,V4145210,V5004030,V5015210
116,0.0680911,-1.0006418,-1.8612399,4.8856006
117,0.06693847,-1.0004231,-1.8607992,4.8858433
118,0.06615376,-1.0007186,-1.8611755,4.88674
119,0.06768256,-1.0014592,-1.8609381,4.885942
120,0.068055935,-1.0009977,-1.8597221,4.887079
121,0.06813926,-0.999994,-1.8594928,4.887846
122,0.06855205,-0.9989953,-1.8595595,4.8869815
123,0.069164924,-0.99836713,-1.859011,4.8865285
124,0.06869975,-0.9980834,-1.8593096,4.887062
125,0.06910681,-0.997808,-1.8578615,4.8874927
126,0.14809331,-0.90833354,-1.702571,4.9640837
127,0.16913994,-0.8786518,-1.6685959,4.982923
128,0.18272348,-0.8669196,-1.6604582,4.992338
129,0.19557154,-0.85896945,-1.6558895,4.9970746
130,0.20372425,-0.8590167,-1.6591395,4.9960628
131,0.20664491,-0.85831755,-1.6620325,4.996525
132,0.20695569,-0.8586495,-1.6613706,4.9969544
133,0.20149893,-0.858612,-1.6605487,5.000115
134,0.19316071,-0.8619917,-1.6582471,4.999884
135,0.17883772,-0.8712638,-1.6590995,4.9957066
136,0.16694216,-0.88243127,-1.6692328,4.9886355
137,0.14470856,-0.9127596,-1.7011265,4.9709945
138,0.0662373,-1.000563,-1.8595308,4.8964524
139,0.06656254,-1.0005571,-1.8588156,4.896815
140,0.066291146,-1.0014696,-1.8587676,4.8968453
141,0.065646835,-1.0004424,-1.8582878,4.8987803
142,0.0659206,-0.99942183,-1.857513,4.898684
143,0.066012435,-0.99944323,-1.8557171,4.898437
144,0.06529241,-0.998404,-1.8559028,4.898666
145,0.06698304,-0.99804157,-1.8558345,4.897653
146,0.067775495,-0.9985158,-1.8553834,4.897656
147,0.064617604,-0.9984315,-1.854467,4.8988433
148,0.066000156,-0.9982672,-1.8536339,4.898966
149,0.0669826,-0.9982517,-1.8539534,4.8985925
150,0.14498313,-0.9053178,-1.691813,4.9780655
151,0.166647,-0.8739756,-1.6604686,4.99659
152,0.1828137,-0.86369926,-1.6532074,5.0031943
153,0.19464378,-0.8591203,-1.6542488,5.0063233
154,0.20332865,-0.85708445,-1.6572709,5.0044794
155,0.20723654,-0.8575387,-1.6586221,5.0040393
156,0.20779209,-0.8578241,-1.6601974,5.0050216
157,0.20180875,-0.85859394,-1.6577253,5.006006
158,0.19264562,-0.86021465,-1.6545386,5.0088787
159,0.1806749,-0.8668029,-1.6532947,5.0087686
160,0.16577753,-0.8797073,-1.6617395,5.000627
161,0.14104989,-0.91039497,-1.6935452,4.985003
162,0.06365163,-1.0016397,-1.8546797,4.906854
163,0.06347856,-1.0009148,-1.8549019,4.907418
164,0.062978834,-1.0004154,-1.8547359,4.9076977
165,0.06443917,-1.0002217,-1.8547106,4.907929
166,0.063120015,-0.9996392,-1.8541099,4.90949
167,0.06334943,-0.9996956,-1.8522664,4.908111
168,0.06406706,-0.9992849,-1.8518015,4.9085464
169,0.06498683,-1.0012127,-1.8504033,4.908339
170,0.06485038,-1.0003377,-1.8499384,4.907455
171,0.4258201,-1.0951701,-1.8859342,4.7592206
172,0.004804542,-0.90041447,-1.6599995,4.9288244
173,0.021313211,-0.9403135,-1.8979554,5.0767474
174,0.14305583,-0.9066713,-1.6850467,4.98558
175,0.16917773,-0.876251,-1.655096,5.003839
176,0.18330409,-0.86197275,-1.6473483,5.011227
177,0.22091751,-0.5003106,-1.727774,5.094927
178,0.16748469,-0.41028664,-1.6503109,5.233774
179,0.46042374,-1.0083843,-1.6865424,4.83112
180,0.5253393,-0.8108353,-1.9985743,5.1810374
181,0.6398125,-0.87280136,-2.2578986,5.6155987
182,0.7301655,-0.6633522,-2.1602154,4.9747825
183,0.7718175,-0.88525087,-2.193388,4.7724366
184,0.41296467,-0.9511797,-1.6964704,4.966247
185,0.51123744,-1.1532928,-2.1485949,4.6762147
186,0.4470776,-1.184436,-2.403896,4.99443
187,0.22343196,-1.2488698,-2.414292,5.0676913
188,0.26403415,-1.0867928,-2.4625783,5.1887794
189,0.18349777,-1.3259459,-2.3954651,5.065347
190,0.3235947,-1.2475052,-2.6199386,4.4753084
191,0.42001167,-1.2740935,-2.3757117,3.8346817
192,-0.1670536,-0.9665003,-1.8716878,4.6860085
193,-0.00066482025,-0.7393953,-1.7686919,4.5792356
194,0.07570097,-1.0088181,-1.7761716,4.778996
195,0.08357436,-0.969595,-1.7396058,4.8814387
196,0.08470932,-0.9526584,-1.7260069,4.920158
197,0.08606117,-0.949738,-1.7208987,4.9326916
198,0.15648519,-0.8612189,-1.5634049,5.011184
199,0.17921038,-0.8315432,-1.5334139,5.028792
200,0.19108284,-0.8225499,-1.5258318,5.034492
201,0.21624237,-0.74638724,-1.4301763,5.1538596
202,0.2090954,-0.815985,-1.5314575,5.0323977
203,0.21205913,-0.81551075,-1.5355134,5.0336814
204,0.21280031,-0.8150375,-1.5359675,5.0337715
205,0.20663749,-0.81747055,-1.532152,5.035646
206,0.20001619,-0.8202289,-1.5286859,5.037722
207,0.1922308,-0.8087595,-1.6543798,4.97831
208,0.18873824,-0.76521856,-1.6962665,5.00235
209,0.09756886,-0.806832,-1.5064937,5.061871
210,0.37883365,-0.9552021,-1.8703555,5.3050995
211,0.32961702,-1.1056625,-1.8552155,4.726217
212,0.06881846,-0.9514418,-1.7166648,4.945957
213,0.07645018,-0.9504714,-1.7148758,4.9484024
214,0.026863685,-0.8870306,-1.81417,5.0369925
215,-0.005190581,-0.7994434,-1.6718259,5.1752815
216,0.0844351,-0.9478658,-1.7136401,4.9500794
217,0.08423337,-0.9473869,-1.7138222,4.950667
218,0.08589303,-0.9471333,-1.7140527,4.9524174
219,0.012765706,-0.55793005,-1.6122643,4.9626617
220,0.08500686,-0.947934,-1.7119619,4.9520054
221,0.08476854,-0.9474681,-1.7109375,4.951921
222,0.11481886,-0.41350785,-1.6155442,5.182183
223,0.41299078,-0.8945845,-1.5053929,5.0468845
